periode;suhu mekkah
1;24,1
2;25,12
3;28,51
4;32,99
5;36,16
6;38,19
7;37,94
8;38,61
9;36,91
10;33,96
11;28,77
12;24,22
13;21,07
14;24,29
15;26,63
16;30,68
17;35,5
18;36,93
19;37,94
20;37,08
21;36
22;32,96
23;25,98
24;24,51
25;22,09
26;25,61
27;26,73
28;31,33
29;36,12
30;37,73
31;37,58
32;36,94
33;35,76
34;32,31
35;27,99
36;24,49
37;23,39
38;26,15
39;29,12
40;30,66
41;35,41
42;36,49
43;37,72
44;36,48
45;37,13
46;32,76
47;28,08
48;23,76
49;23,13
50;24,9
51;27,63
52;32,84
53;35,17
54;37,73
55;37,51
56;38,05
57;36,51
58;32,73
59;26,94
60;25,36
61;22
62;25,25
63;29,05
64;31,48
65;36,18
66;36,94
67;37,09
68;39,37
69;37,61
70;33,06
71;28,37
72;23,46
73;22,48
74;25,48
75;29,81
76;31,65
77;36,32
78;38,04
79;37,49
80;37,62
81;37,19
82;33,08
83;28,32
84;25,2
85;24,13
86;23,15
87;27,23
88;32,79
89;36,33
90;38,94
91;37,9
92;39,59
93;37,72
94;33,46
95;28,41
96;24,83
97;22,35
98;25,92
99;29,55
100;31,44
101;35,98
102;37,58
103;37,51
104;37,19
105;37,62
106;32,37
107;25,81
108;24,42
109;24,1
110;24,2
111;25,5
112;31,09
113;36,03
114;38,82
115;37,76
116;37,38
117;37,95
118;33,18
119;29,15
120;25
121;20,65
122;23,82
123;26,99
124;30,51
125;35,4
126;37,91
127;36,65
128;35,96
129;37,19
130;32,49
131;28,18
132;24,94
133;23,19
134;22,96
135;28,9
136;31,41
137;34,97
138;39,55
139;37,24
140;38,26
141;36,96
142;34,19
143;28,9
144;25,01
